"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1940","Codazzi, Agustín","Resumen de la geografía de Venezuela: Geografía política","","","","","https://books.google.com/books/download/resumen_de_la_geografía_de_venezuela_geografía_política.pdf?id=ZxBmAAAAMAAJ&output=pdf","","1940","2025-12-12 16:40:20","2025-12-12 16:40:20","","","164","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=ZxBmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1940","Codazzi, Agustín","Resumen de la geografía de Venezuela: Geografía de la provincias","","","","","https://books.google.com/books/download/resumen_de_la_geografía_de_venezuela_geografía_de_la_provincias.pdf?id=NIkzAQAAIAAJ&output=pdf","","1940","2025-12-12 16:40:20","2025-12-12 16:40:20","","","392","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=NIkzAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1826","ARGUINDEGUI, José María","Los Militares de la provincia de Carabolo. [A reply to a pamphlet by General Bermúdez, upon the revolutionary movement in Venezuela. Signed by J. M. Arguindegui, P. Celis, S. García, and others.]","","","","","https://books.google.com/books/download/los_militares_de_la_provincia_de_carabolo_a_reply_to_a_pamphlet_by_general_bermúdez_upon_the_revolut.pdf?id=0qNcAAAAcAAJ&output=pdf","","1826","2025-12-12 16:40:20","2025-12-12 16:40:20","","","12","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=0qNcAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1832","MAYZ, Jayme de","Vindicacion [against the accusation of complicity in the assassination of J. F. Bermudez by F. A. Carrera subscribed J. de Mayz].","","","","","https://books.google.com/books/download/vindicacion_against_the_accusation_of_complicity_in_the_assassination_of_j_f_bermudez_by_f_a_carrera.pdf?id=sqJcAAAAcAAJ&output=pdf","","1832","2025-12-12 16:40:20","2025-12-12 16:40:20","","","12","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=sqJcAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1856","(General.), Juan José FLORES","Biografia del General J. J. F. Publicada por una sociedad compuesta de sus compatriotas y amigos, etc. [Signed, F. Ornellas, and others.]","","","","","https://books.google.com/books/download/biografia_del_general_j_j_f_publicada_por_una_sociedad_compuesta_de_sus_compatriotas_y_amigos_etc_si.pdf?id=sr1cAAAAcAAJ&output=pdf","","1856","2025-12-12 16:40:20","2025-12-12 16:40:20","","","8","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=sr1cAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1854","Ecuador.), Antonio Flores Jijón (President of the Republic of","Contestacion al articulo Ecuador, publicado en el num. 4, 360 del Comercio de Lima por la Legacion Ecuatoriana. [Signed: Antonio Flores Jijon]","","","","","https://books.google.com/books/download/contestacion_al_articulo_ecuador_publicado_en_el_num_4_360_del_comercio_de_lima_por_la_legacion_ecua.pdf?id=yONWbkmRTn4C&output=pdf","","1854","2025-12-12 16:40:20","2025-12-12 16:40:20","","","32","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=yONWbkmRTn4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1857","CARREÑO, Manuel Antonio","Manual de Urbanidad y Buenas Maneras, etc","","","","","https://books.google.com/books/download/manual_de_urbanidad_y_buenas_maneras_etc.pdf?id=1jhcAAAAcAAJ&output=pdf","","1857","2025-12-12 16:40:20","2025-12-12 16:40:20","","","342","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=1jhcAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1857","CARREÑO, Manuel Antonio","Compendio del Manual de Urbanidad y Buenas Maneras de M. A. Carreño ... arreglado por el mismo, etc","","","","","https://books.google.com/books/download/compendio_del_manual_de_urbanidad_y_buenas_maneras_de_m_a_carreño__arreglado_por_el_mismo_etc.pdf?id=5i5cAAAAcAAJ&output=pdf","","1857","2025-12-12 16:40:20","2025-12-12 16:40:20","","","132","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=5i5cAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1858","Thérou, abbé","Catecismo razonado, historico i dogmatico, redactado segun los catecismos de Aymé, de Fleury i de la diocesis de Paris; ... Traducido al Castellano por M. A. Carreño i M. Urbaneja. [The dedication signed, M. Chiari.]","","","","","http://books.google.com.co/books/download/Catecismo_razonado_historico_i_dogmatico.pdf?id=jy9WAAAAcAAJ&hl=&output=pdf&sig=ACfU3U35V26xGVU8EdAV71ZMfU63MhPcCw&source=gbs_api","","1858","2025-12-12 16:40:20","2025-12-12 16:40:20","","","186","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=jy9WAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1969","Tavera-Acosta, Bartolomé","Historia de Carúpano","","","","","https://books.google.com/books/download/historia_de_carúpano.pdf?id=zegKAQAAIAAJ&output=pdf","","1969","2025-12-12 16:40:20","2025-12-12 16:40:20","","","388","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=zegKAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
